defect_id,task_id,task_name,defect_type,severity,description,how_caught,correction_action
DEF_001,TASK_01,user_validator,Edge Case,Medium,Initial AI regex missed validating negative and excessive ages (>120).,Pytest edge-case test with age=-5 and age=150.,Added explicit age boundary check: 18 <= age <= 120.
DEF_002,TASK_02,csv_to_json,Edge Case,Medium,"Header whitespace was not stripped, leading to keys like ' age ' instead of 'age'.",Dictionary key assertion failed on record['age'].,Added k.strip() during dictionary comprehension.
DEF_003,TASK_03,palindrome_finder,Performance,Medium,AI initially generated an O(N^3) brute-force substring search that degraded heavily on long strings.,"Performance timing check on 1,000-character test string.",Refactored to an O(N^2) expand-around-center algorithm.
DEF_004,TASK_04,bank_transactions,Logic,High,"Overdraft counter only counted transitions from positive to negative, missing multiple negative txs.",Pytest multi-overdraft scenario asserted count == 3 but got 1.,Updated logic to increment counter on every transaction resulting in negative balance.
DEF_005,TASK_05,discount_refactor,Security,High,"Discount calculation allowed total discount to exceed the cart subtotal, resulting in negative balance exploits.",Negative price vulnerability audit ($5 cart with $10 coupon returned -$5 total).,"Enforced bounds via min(discount, cart_total) to prevent exploit."
DEF_006,TASK_06,string_normalizer,Security,High,"AI code omitted HTML tag stripping, allowing unescaped <script> tags to pass into backend pipelines.",Security sanitization assertion with XSS test string payload.,"Added regex-based HTML tag stripper re.sub(r'<[^>]+>', '', raw_text)."
DEF_007,TASK_07,shopping_cart_tests,Style,Low,"AI generated positive test cases only, completely missing negative price/quantity error tests.",Code review against test coverage checklist.,Added pytest.raises(ValueError) test cases for negative price inputs.
DEF_008,TASK_08,binary_search_fix,Logic,High,"AI suggested loop condition 'while low < high', missing the target element when located at the upper boundary.","Pytest asserted binary_search(arr, 15) == 7 but got -1.",Corrected loop invariant to 'while low <= high'.
DEF_009,TASK_09,mutable_default_fix,Logic,High,"AI generated a class wrapper but retained 'tags=[]' in method signature, preserving the mutable bug.",Pytest multiple task addition test showed tags leaking across separate instances.,Changed default to tags=None and assigned new list inside method body.
DEF_010,TASK_10,weather_api_parser,Style,Low,Floating point temperature conversions had long floating point precision tails.,Output string formatting assertion failed on float representation.,Explicitly rounded temperatures to 1 decimal place.
