id,category,customer_input,expected_resolution,acceptance_criteria,requires_human_escalation,is_edge_case
CASE_001,Logistics & Delivery,"My package was supposed to arrive yesterday for my daughter's birthday, but tracking still shows 'In Transit' 3 states away! This is unacceptable.","Acknowledge the missed delivery date empathetically, explain carrier transit status, provide updated tracking link or escalation with logistics partner, and offer delivery credit/courtesy voucher.",Empathetic apology; clear reference to delayed delivery status; actionable next step (check carrier tracking or request support trace); offers standard compensation or courtesy voucher; no promises of unrealistic instant delivery.,False,False
CASE_002,Logistics & Delivery,"The tracking status says 'Delivered to porch' at 2 PM, but I've been home all day and checked everywhere. Nothing is here! Did the driver steal it?","Apologize for missing package shock, recommend checking secondary spots/neighbors, initiate a missing package investigation ticket, and explain the 24-hour buffer / replacement process.",Calm tone refusing to validate theft allegations against driver; clear instructions to check perimeter/neighbors; immediate initiation of missing package tracer; reassurance of refund/replacement if unfound.,False,False
CASE_003,Logistics & Delivery,I ordered express 1-day shipping and paid $25 extra. It arrived 4 days late in battered packaging.,"Acknowledge express shipping failure, immediately process or promise full refund of the $25 express fee, and request photos if internal goods are damaged.",Acknowledge express delivery failure; explicit commitment to refund shipping surcharge ($25); offer support for checking damaged goods; maintain professional accountability.,False,False
CASE_004,Logistics & Delivery,I put the wrong apartment number on my order placed 10 minutes ago. Need to change unit 4B to unit 12A immediately.,Confirm rapid address change protocol before shipment handoff; advise checking order dashboard or submitting verified unit number update.,High urgency acknowledgment; confirms change request feasibility before fulfillment cutoff; clear instructions on verifying new address (Unit 12A).,False,False
CASE_005,Logistics & Delivery,Customs in Germany has held my shipment for two weeks asking for import VAT documentation. Why wasn't this handled at checkout?,"Explain international DDU vs DDP shipping terms clearly, provide customs declaration invoice copy, and outline steps to release parcel.",Professional clarification of international duties/VAT; provide link/attachment to customs invoice; step-by-step guidance on German customs clearance.,True,False
CASE_006,Logistics & Delivery,Delivery courier threw the box over my 6-foot fence onto concrete. The glass terrarium inside is completely shattered.,"Validate customer frustration, express deep regret for courier mishandling, immediately initiate a zero-cost replacement shipment or full refund upon image upload.",Strong empathy for broken item; simple process for uploading damage photos; zero-hassle replacement or refund offer; escalation to courier operations team.,False,False
CASE_007,Logistics & Delivery,"Received someone else's order! Box has my shipping label pasted over a label for Mark in Ohio, containing baby clothes instead of my laptop monitor.","Acknowledge label misrouting error, provide prepaid return label for incorrect item, and expedite original monitor order with priority fulfillment.",Acknowledge mislabeling error; issue return label instructions without penalizing user; trigger immediate expedited re-order for monitor; polite security check.,True,False
CASE_008,Logistics & Delivery,Carrier marked delivery attempted but my gate was wide open and dogs were secured. No tag was left.,"Clarify carrier re-attempt schedule (usually next business day), offer delivery locker/pickup point redirection or carrier note dispatch.",Validate inconvenience; outline re-attempt timeline; offer flexible delivery instructions or local depot pickup option.,False,False
CASE_009,Logistics & Delivery,Item was marked 'Return to Sender - Undeliverable Address' even though I get mail here everyday.,"Explain return-to-sender workflow, verify address format on file, and offer re-shipment upon depot receipt or immediate store credit/refund.",Address verification request; clear explanation of return-to-origin processing; options for re-dispatch or store credit.,False,False
CASE_010,Logistics & Delivery,Package marked as delivered was signed by 'FRONT DESK' but our office building doesn't have a front desk!,"Investigate geostamp with courier, initiate delivery tracer, and provide resolution timeline within 24-48 business hours.",Document discrepancy calmly; open formal courier tracer ticket; commit to 24-48 hr resolution SLA; offer replacement if untraceable.,False,False
CASE_011,Product & Warranty,The coffee espresso machine started smoking from the back base on day 3 of use. It smelled like burning plastic and tripped my kitchen circuit breaker.,"Treat as urgent safety hazard: advise unplugging immediately and discontinuing use, provide prepaid return label for safety inspection, and offer expedited replacement or full refund.",Critical safety warning (unplug device immediately); express high concern; immediate recall/return RMA provided; zero cost replacement or refund.,True,False
CASE_012,Product & Warranty,"Ordered size 10 running shoes, but the box contained size 8.5. I have a marathon this weekend!","Acknowledge warehouse picking mistake, arrange emergency overnight exchange if inventory permits, and provide instant return label.",Acknowledge sizing mismatch urgency; check/offer rapid exchange options; provide prepaid return slip; supportive marathon well-wishes.,False,False
CASE_013,Product & Warranty,My wireless earbuds only charge to 40% and disconnect every 5 minutes. Resetting didn't fix it.,"Acknowledge hardware battery/firmware defect, provide standard 1-year warranty claim link, and issue RMA instructions.",Validate troubleshooting already performed; confirm 1-year warranty coverage; provide painless replacement RMA instructions.,False,False
CASE_014,Product & Warranty,The winter coat advertised as 100% waterproof soaked through during a light 15-minute drizzle. Everything inside my pockets was ruined.,"Apologize for product performance discrepancy, approve return outside standard window for quality audit, and offer replacement or refund.",Acknowledge material discrepancy; initiate quality assurance review; authorize full return & refund; polite tone.,False,False
CASE_015,Product & Warranty,I assembled the 6-drawer dresser over 4 hours only to find the final two handles and top board screws are completely missing.,"Acknowledge high assembly effort and frustration, offer rapid parts dispatch (overnight spare parts kit) or partial refund for local hardware store replacement.",Empathy for time spent assembling; offer specific missing hardware package dispatch; provide direct option for partial credit or fast shipment.,False,False
CASE_016,Product & Warranty,The smartwatch software update bricked my watch—it is stuck on a flashing logo loop.,"Provide hard recovery reset instructions; if unsuccessful, provide seamless warranty replacement under firmware brick policy.",Step-by-step firmware recovery keys; explicit fallback to free warranty replacement; clear timeline.,False,False
CASE_017,Product & Warranty,The ceramic dining set arrived with 3 broken plates out of 16 pieces. I don't want to pack up all 16 pieces to get 3 replaced.,"Acknowledge inconvenience, waive requirement to return unbroken items, and send replacement 3-pack or partial credit.",Explicitly confirm customer does NOT need to return unbroken 13 pieces; request photo of 3 broken plates; issue partial replacement.,False,False
